album,artist,lyric,song,year
Infinite (1996),Eminem,Me and Eminem don't need nothing but my and his money,Jealousy Woes II,1996
Infinite (1996),Eminem,"Maxine: I don't know, thinking about something freaky to do",Maxine,1996
Infinite (1996),Eminem,"Be all you can be, cause once you make an instant hit",Infinite,1996
Infinite (1996),Eminem,"You're in jepordation, if you ain't got no preparation",Maxine,1996
Infinite (1996),Eminem,I grapple an axe for them baffling acts,Tonite,1996
Infinite (1996),Eminem,Point him out bitch I wanna know,Open Mic,1996
Infinite (1996),Eminem,"Sometimes I wonder, what's your purpose? In life that is",Maxine,1996
Infinite (1996),Eminem,"At a faster rate, yeah I got something for your ass to hate",313,1996
Infinite (1996),Eminem,When you got niggas hiding in your closet,Maxine,1996
Infinite (1996),Eminem,"Pursue what I lust, it's true that I just choose",Never 2 Far,1996
Infinite (1996),Eminem,I come home every single day from working double shifts,Jealousy Woes II,1996
Infinite (1996),Eminem,"She started crying, and asked me to forgive her and shit",Maxine,1996
Infinite (1996),Eminem,I went to it serving a sentence for murdering instruments,Infinite,1996
Infinite (1996),Eminem,"I said ""Hold up, and stop proceeding, you rushing things""",Maxine,1996
Infinite (1996),Eminem,But when I hear the beat I'm tempted to make another attempt at it...,Infinite,1996
Infinite (1996),Eminem,"I got some meat to mince, a crew to stomp and then two feet to rinse",Infinite,1996
Infinite (1996),Eminem,"""3 don't get mad but there's something that I gotta tell your ass""",Maxine,1996
Infinite (1996),Eminem,"If what you vision is tours, or a mission less course",Never 2 Far,1996
Infinite (1996),Eminem,I got up out,Maxine,1996
Infinite (1996),Eminem,"You can rule the world, you can do anything",Never 2 Far,1996
Infinite (1996),Eminem,"Yo we got to get the money man, I can't be broke for the rest of my life",Never 2 Far,1996
Infinite (1996),Eminem,"Maxine: (laughing) Well I ain't got shit,",Maxine,1996
Infinite (1996),Eminem,I grab what I can and do what I must,Never 2 Far,1996
Infinite (1996),Eminem,"No one's special, special like you (3X)",Searchin',1996
Infinite (1996),Eminem,"We just wanted to be funded, and live to be a hundred",Never 2 Far,1996
Infinite (1996),Eminem,Denaun: AIDS,Maxine,1996
Infinite (1996),Eminem,But there's a couple of reasons that I'm suffering and grieving,Searchin',1996
Infinite (1996),Eminem,"Denaun: You don't need no damn money,",Maxine,1996
Infinite (1996),Eminem,"Cause your comparing to none, I wanna share in the fun",Searchin',1996
Infinite (1996),Eminem,"No matter wherever you are, you're never too far",Never 2 Far,1996
Infinite (1996),Eminem,"I'm trying to be the man, I'm want to be President",Never 2 Far,1996
