album,artist,lyric,song,year
2Pacalypse Now (1991),tupac,Wakin' up tha masses,Violent,1991
2Pacalypse Now (1991),tupac,"Don't look confused, tha truth is so plain ta see",Violent,1991
2Pacalypse Now (1991),tupac,Don't you know she's got a,Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,"(Naw, they can't keep tha black man down)",Trapped,1991
2Pacalypse Now (1991),tupac,These hipocrites are havin' fits,Violent,1991
2Pacalypse Now (1991),tupac,"My words are weapons, and I'm stepin to tha sirens",Violent,1991
2Pacalypse Now (1991),tupac,Or get the dick of Tha' Lunatic,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,Niggaz got PROBLEMS in ninety-one,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,Part time mutha,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,This time tha truth is getten told,Violent,1991
2Pacalypse Now (1991),tupac,"Look through our history, Americas tha violent one",Violent,1991
2Pacalypse Now (1991),tupac,Mothafucka censor this!,Violent,1991
2Pacalypse Now (1991),tupac,This time tha pay back for evil shit you did too me,Violent,1991
2Pacalypse Now (1991),tupac,They call me militant and racist 'cause I will resist,Violent,1991
2Pacalypse Now (1991),tupac,"Nigga I'm loc'ed, when I smoke, from the indo",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,Revenge so sweet when it comes from,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"Tell 'em they come and test, and tha rest, nigga gets hectic",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"Get out tha car, or I'lI hurt you",Violent,1991
2Pacalypse Now (1991),tupac,*Machine gun fires*,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"It's somethin', I guess I let the beat keep bumpin",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"Thought you was a pimp, now you're simpin for my solo",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,The most dangerous weapon: an educated black man.,Rebel of the Underground,1991
2Pacalypse Now (1991),tupac,"Never get much older, following tha tracks of a soulja",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"Just because we play what tha people want, (Violent)",Violent,1991
2Pacalypse Now (1991),tupac,"Jacked by tha police, didn't have my ID",Violent,1991
2Pacalypse Now (1991),tupac,Pick my 9 up or hit tha line up,Violent,1991
2Pacalypse Now (1991),tupac,But the battle ain't over till the black man sings,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,Kkkkkkicking the funky flava,Something Wicked,1991
2Pacalypse Now (1991),tupac,"Tha first cop grabbed me, tha other ripped my seat",Violent,1991
2Pacalypse Now (1991),tupac,"Envious, because I will rebel against",Violent,1991
2Pacalypse Now (1991),tupac,"All you wanted ta be, a soulja, like me",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"My homie packed, he tried ta run",Violent,1991
2Pacalypse Now (1991),tupac,"Tha car wouldn't start, we in deep shit",Violent,1991
2Pacalypse Now (1991),tupac,"But if I go, I'm taken all these punks with me",Violent,1991
2Pacalypse Now (1991),tupac,"All you wanted ta be, a soulja, like me",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"As I was beatin' on a cop, I heard a gun click",Violent,1991
2Pacalypse Now (1991),tupac,"Then tha gun shot, but I wasn't hit",Violent,1991
2Pacalypse Now (1991),tupac,"He shot tha cop, now he's a dead man",Violent,1991
2Pacalypse Now (1991),tupac,"Jumped in tha car, and tried ta get away quick",Violent,1991
2Pacalypse Now (1991),tupac,Break the chains in our brains that made us fear yah,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,"One things for sure, tomorrow I won't be here",Violent,1991
2Pacalypse Now (1991),tupac,Cause a nigga like me,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,"Just because we play what tha people want, (Violent)",Violent,1991
2Pacalypse Now (1991),tupac,Puttin' this on the map with this mackin shit,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"If I die tonight, I'm dying in a gun fight",Violent,1991
2Pacalypse Now (1991),tupac,"Fuck a damn cop, (they claim'in that I'm violent)",Violent,1991
2Pacalypse Now (1991),tupac,"This is a lesson, to tha rednecks and crooked cops",Violent,1991
2Pacalypse Now (1991),tupac,"New bitch every night, never tripped off a wife",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"Pass me a clip G, now come and get me",Violent,1991
2Pacalypse Now (1991),tupac,Getting the hoes,Something Wicked,1991
2Pacalypse Now (1991),tupac,Gotta step lightly 'cause cops tried to snipe me,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,Something wicked this way come,Something Wicked,1991
2Pacalypse Now (1991),tupac,Tha screams never left my mouth,Soulja's Story,1991
2Pacalypse Now (1991),tupac,Something wicked this way come,Something Wicked,1991
2Pacalypse Now (1991),tupac,Cold as the devil.,Rebel of the Underground,1991
2Pacalypse Now (1991),tupac,"I' m getting taxed, my pacs is packed with angry blacks",Something Wicked,1991
2Pacalypse Now (1991),tupac,"And those that max, relax and let the blacks get jacks",Something Wicked,1991
2Pacalypse Now (1991),tupac,Verse Two:,If My Homie Calls,1991
2Pacalypse Now (1991),tupac,"Nope, I ain't the type of fella that you use though",Something Wicked,1991
2Pacalypse Now (1991),tupac,(2Pac),Rebel of the Underground,1991
2Pacalypse Now (1991),tupac,Pa-pa-pa-part time,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,One verse is all it takes,Something Wicked,1991
2Pacalypse Now (1991),tupac,Verse One:,If My Homie Calls,1991
